link,type,text,Link,Type,Text
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,title,"Drug Shortage: Causes, Impact, and Mitigation Strategies"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,abstract,"Drug shortage is a global issue affecting low, middle, and high-income countries. Many countries have developed various strategies to overcome the problem, while the problem is accelerating, affecting the whole world. All types of drugs, such as essential life-saving drugs, oncology medicines, antimicrobial drugs, analgesics, opioids, cardiovascular drugs, radiopharmaceutical, and parenteral products, are liable to the shortage. Among all pharmaceutical dosage forms, sterile injectable products have a higher risk of shortage than other forms. The causes of shortage are multifactorial, including supply issues, demand issues, and regulatory issues. Supply issues consist of manufacturing problems, unavailability of raw materials, logistic problems, and business problems. In contrast, demand issues include just-in-time inventory, higher demand for a product, seasonal demand, and unpredictable demand. For regulatory issues, one important factor is the lack of a unified definition of drug shortage. Drug shortage affects all stakeholders from economic, clinical, and humanistic aspects. WHO established global mitigation strategies from four levels to overcome drug shortages globally. It includes a workaround to tackle the current shortage, operational improvements to reduce the shortage risk and achieve early warning, changes in governmental policies, and education and training of all health professionals about managing shortages."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,keywords,"medicine shortage, drug shortage, definitions, causes, impacts, mitigation strategies"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,title,Consumption and Lack of Access to Medicines ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,abstract,"We aimed to investigate the consumption and lack of access to medicines in the adult population of Manaus, Amazonas.A population-based study was conducted in Manaus in 2019. Individuals aged ≥18 years were selected by probabilistic sampling performed in three stages. Study outcomes included the consumption of medicines in the previous fortnight and the lack of access to treatments in those who used any medicine. We calculated the prevalence ratios (PR) for the outcomes with 95% confidence intervals (CI) by Poisson regression with robust variance, considering the complex sampling design.Out of the 2,321 participants, 53.2% (95%CI 50.7-55.7%) consumed medicines, of which 14.4% (95% CI 11.9–16.8%) could not obtain appropriate treatments. Analgesics were the most used medicines (557/2,702; 21.4%), whereas antibiotics were the most inaccessible treatments (18/228; 7.9%). Lack of financial resources was the main reason for not accessing treatments (104/228; 45.6%). Consumption was significantly associated with older age (≥60 years: PR = 1.27; 95%CI 1.09–1.49), lower social class (D/E: PR = 0.84; 95%CI 0.72–0.99), lower educational level (p = 0.039), poor health status (PR = 1.30; 95%CI 1.11–1.52), use of health care services (PR = 1.37; 95%CI 1.26–1.49), and chronic diseases (PR = 1.36; 95%CI 1.22–1.52). Lack of access was higher in people with poor health status (PR = 2.46; 95%CI 1.50–4.04) and chronic diseases (PR = 1.84; 95%CI 1.16–2.92).Half of Manaus’ population used medicines, which was higher in socially privileged and sicker individuals. Among those, 14 in every 100 could not access drug therapies, which was more frequent in people with poor health and with chronic diseases."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,keywords,"drug utilization, Access to Essential Medicines and Health Technologies, health services accessibility, cross-sectional studies, Brazil"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10276598/,title,Challenges to the Availability and Affordability of Essential ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10276598/,abstract,"The availability and affordability of safe, effective, accessible, and high-quality essential medicines is a critical benchmark for achieving the right to good health, and it is also one of the goals of the global health development agenda. To that end, it is critical to conduct rigorous studies to identify the major challenges confronting developing countries, particularly those in Africa.The purpose of this review was to identify the major challenges that Africans face in obtaining reasonably priced and readily available essential medicines.Generally the Boolean operators “AND” and “OR” were employed. Making progress also involves using duplicate checks, field definitions, and comparisons of articles and criteria. The analysis included all English-language papers published in any African country between 2005 and 2022, depending on the year of publication. The technique searches electronic databases for key phrases related to essential medication availability and affordability, such as PubMed, Web of Science, Scopus, Science Direct, Plos Medicine, and Google Scholar.A total of 91 articles; by using search engines and handpicking including duplicates, were primarily searched. The electronic database search earned 78 articles while only eleven studies met the criteria for review and were reviewed of which 5 (50%) were from East African countries. Inadequate human resources, financial constraints, high cost of available medications on the market, poor inventory management, manual consumption forecasting, inefficiencies in drug registration, and trade-related aspects of intellectual property rights agreement regulations are all obstacles to the availability of essential medicines in African nations.This review revealed that in Africa, the availability and affordability of essential medicines face numerous challenges. The primary challenge, according to the review research, is a lack of adequate financing to pay for an appropriate set of essential medications, which account for a significant portion of household spending."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10276598/,keywords,"African countries, availability, affordability, essential medicines, challenges"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8374847/,title,The Burden of Unavailable Drugs Cost to Patients Admitted ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8374847/,abstract,"To assess the burden of unavailable drugs cost to patients admitted to TikurAnbessa Specialized Hospital’s internal medicine ward. Costs of medications obtained inside and outside the pharmacy and other burdens associated with drugs’ unavailability are also estimated and explored.A facility-based cross-sectional study design was conducted from November 9 to November 23, 2020. Quantitative data on medication costs were collected from patients admitted to TikurAnbessa Specialized Hospital internal medicine ward B8. Qualitative information was collected from patients, caregivers, and health care professionals through interviews to assess the burdens of unavailability of pharmaceuticals on patients and the health care system.A total of 32 patients were enrolled in the study. Participants’ age ranged from 14 to 92. Eighteen (56.25%) paid in cash for medications bought within the hospital pharmacy, while the remaining 14 (43.75%) were treated for free. A total of 68 medicines were prescribed during the study period. Of this, 33 (48.53%) medicines were not available in the hospital pharmacy. The total costs of patients were 78.07$ and 1530.84$ when purchased from inside and outside the hospital pharmacy, respectively. The average price of medications per patient ranged from 0.025 to 8.41$ inside the hospital pharmacy, where the average cost per patient outside the hospital pharmacy ran from 0.128 to 54.67$. For the qualitative part, four patients and/or caregivers and five health care professionals were interviewed, and three key themes emerged from the thematic analysis: (i) awareness of the availability of medication, (ii) management of the burden of stock out, and (iii) impact of the stock out.The study came up with a result that the hospital pharmacy has high unavailability of medication. Patients complain about unwanted and unreasonably expenditure to purchase pharmaceuticals from outside pharmacies and associated delayed treatment."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8374847/,keywords,"burden, unavailability, hospital pharmacy"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4855755/,title,Challenges of access to medicine and the responsibility ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4855755/,abstract,The right to health as a basic human right- and access to medicine as a part of it- have been a matter of attention for several decades. Also the responsibilities of different parties- particularly pharmaceutical companies- in realization of this right has been emphasized by World Health Organization. This is while many companies find no incentive for research and development of medicines related to rare diseases. Also some legal structures such as “patent agreements” clearly cause huge difficulties for access to medicine in many countries. High prices of brand medicine and no legal production of generics can increase the catastrophic costs- as well as morbidity-mortality of medication in lower income countries. Here we evidently review the current challenges in access to medicine and critically assess its legal roots. How societies/governors can make the pharmaceutical companies responsible is also discussed to have a look on possible future and actions that policy makers- in local or global level- can take.
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4855755/,keywords,"Access to medicine, Pharmaceuticals, Pharmaceutical companies, Human rights"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8369330/,title,What impact does medicines shortages have on patients? ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8369330/,abstract,"The shortage of medicines represents a complex global phenomenon that triggers patient care and safety issues. The study was undertaken to explore the impact of medicines shortages on patients in Pakistan. The study also identified barriers which hinder the solutions of medicines shortages issue.A qualitative study design was adopted and the data was collected in stages between July and September 2019using an in-depth interview approach. The purposive and convenient sampling strategy was used to recruit the study participants. Sample size was limited by using the saturation point criteria. All interviews were audio-recorded, transcribed verbatim, and analyzed using thematic analysis.A total of 35 stakeholders including 13 physicians, 12 pharmacists and 10 patients participated in the study. The findings of the study were classified into five key themes and seven subthemes. The five themes included, ‘impact of medicine shortages on patients’, ‘patients’ practices in response to medicine shortages’, ‘influence of medicines shortages on medical practice or pharmaceutical business’, ‘barriers to solutions for medicines shortages’, and ‘suggestions to assuage the impact of medicine shortages.’This study showed that the medicine shortages had significant clinical and financial impact on patients. Patients’ opted for a number of risk-prone practices to avoid treatment disruption during shortages. An array of pharmaceutical market, medicines quality and patient related factors refrain physicians to switch from brand name medicine to generics and lead to ineffective management of medicines shortages. Promotion of generic prescription, implementation of punitive policies and proper patient consultation was advised to assuage the impact of medicine shortages on patients.The adverse clinical, economic and humanistic impact affirmed in this study demand the introduction of risk-management strategies for medicines shortages in hospital and community settings in accordance with the international standards. Promotion of effective patient counselling by the healthcare professionals to deter risk-prone practices associated with medicines shortages is mandatory.The online version contains supplementary material available at 10.1186/s12913-021-06812-7."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8369330/,keywords,"Medicines shortages, Impact, Access to medicines, Generic substitution, Essential medicines, Drug regulatory Authority of Pakistan"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,title,Access to medicines through health systems in low
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,abstract,"Nearly 2 billion people globally have no access to essential medicines. This means essential medicines are unavailable, unaffordable, inaccessible, unacceptable or of low quality for more than a quarter of the population worldwide. This supplement demonstrates the implications of poor medicine access and highlights recent innovations to improve access to essential medicines by presenting new research findings from low- and middle-income countries (LMICs). These studies answer key questions such as: Can performance-based financing improve availability of essential medicines? How affordable are cardiovascular treatments for children? Which countries’ legal frameworks promote universal access to medicines? How appropriately are people using medicines? Do poor-quality medicines impact equity? Answers to these questions are important as essential medicines are vital to the Sustainable Development Goals and are central to the goal of achieving Universal Health Coverage. Access to affordable, quality-assured essential medicines is crucial to reducing the financial burden of care, preventing greater pain and suffering, shortening the duration of illness, and averting needless disabilities and deaths worldwide. This supplement was organized by the Medicines in Health Systems Thematic Working Group of Health Systems Global, a membership organization dedicated to promoting health systems research and knowledge translation. The five studies in the supplement further our understanding by showcasing recent successes and challenges of improving access to quality-assured medicines through health systems in LMICs."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,keywords,"Access, medicines, drugs, pharmaceuticals, developing countries, public health, health systems"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7947706/,title,Patients' Coping Behaviors to Unavailability of Essential ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7947706/,abstract,"Background: China rolled out the national essential medicines policy (NEMP) in primary care in 2009 and led to some unintended consequences including unavailability of essential medicines. This study examined patients’ coping behaviors to these unintended consequences of NEMP as well as the potential impact on primary care system development in Hangzhou, a developed city of China.Methods: We conducted qualitative interviews and surveys with service users, primary care physicians (PCPs), and specialists in tertiary hospitals. Qualitative findings informed the design of the survey questionnaires. Main outcomes included patients’ coping behaviors after the NEMP implementation, as well as providers’ perceptions of NEMP’s impact on primary care development. Thematic analysis of the qualitative data and descriptive analysis of the survey data were conducted.Results: Unintended effects of NEMP included frequent unavailability of certain essential drugs, leading to patient flow from primary care to hospital outpatient clinics for drug refills, difficulties in the provision of continuing care in primary care, as well as compromised patient trust in PCPs. In total, 1248 service users completed the questionnaires. A total of 132 (10.6%) were aged 60 years or above. Among 153 (57.7%) of the 265 who had some chronic condition(s) and needed long-term medication treatment, 60.1% went to hospitals for refills. Four-hundred sixty PCPs and 651 specialists were recruited. Among 404 PCPs who were aware of the NEMP policy implementation in their facility, 169 (41.8%) reported that there was often a shortage of drugs at their facilities and 44 (10.9%) reported always. Moreover, 68.6% of these PCPs thought that the NEMP could not meet their patients’ needs. Further, 44.2% (220/498) of specialists who were aware of the NEMP policy in primary care reported that they often heard patients complaining about the policy. In total, 53.1% of PCPs and 42.4% of specialists disagreed that NEMP helped direct patient flow to community-based care.Conclusion: NEMP’s unintended effects undermined patients’ utilization of primary care in a developed city in China and led to unnecessary hospital visits. Countermeasures are needed to mitigate the negative impacts of NEMP on the primary care system."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7947706/,keywords,"Essential Medicines Policy, Primary Care, Service Utilization, China"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311400/,title,The high cost of prescription drugs: causes and solutions
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311400/,abstract,"Global spending on prescription drugs in 2020 is expected to be ~$1.3 trillion; the United States alone will spend ~$350 billion1. These high spending rates are expected to increase at a rate of 3–6% annually worldwide. The magnitude of increase is even more alarming for cancer treatments that account for a large proportion of prescription drug costs. In 2018, global spending on cancer treatments was approximately 150 billion, and has increased by >10% in each of the past 5 years2.The high cost of prescription drugs threatens healthcare budgets, and limits funding available for other areas in which public investment is needed. In countries without universal healthcare, the high cost of prescription drugs poses an additional threat: unaffordable out-of-pocket costs for individual patients. Approximately 25% of Americans find it difficult to afford prescription drugs due to high out-of-pocket costs3. Drug companies cite high drug prices as being important for sustaining innovation. But the ability to charge high prices for every new drug possibly slows the pace of innovation. It is less risky to develop drugs that represent minor modifications of existing drugs (“me-too” drugs) and show incremental improvement in efficacy or safety, rather than investing in truly innovative drugs where there is a greater chance of failure."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311400/,title,The high cost of prescription drugs: causes and solutions
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311400/,abstract,"Global spending on prescription drugs in 2020 is expected to be ~$1.3 trillion; the United States alone will spend ~$350 billion1. These high spending rates are expected to increase at a rate of 3–6% annually worldwide. The magnitude of increase is even more alarming for cancer treatments that account for a large proportion of prescription drug costs. In 2018, global spending on cancer treatments was approximately 150 billion, and has increased by >10% in each of the past 5 years2.The high cost of prescription drugs threatens healthcare budgets, and limits funding available for other areas in which public investment is needed. In countries without universal healthcare, the high cost of prescription drugs poses an additional threat: unaffordable out-of-pocket costs for individual patients. Approximately 25% of Americans find it difficult to afford prescription drugs due to high out-of-pocket costs3. Drug companies cite high drug prices as being important for sustaining innovation. But the ability to charge high prices for every new drug possibly slows the pace of innovation. It is less risky to develop drugs that represent minor modifications of existing drugs (“me-too” drugs) and show incremental improvement in efficacy or safety, rather than investing in truly innovative drugs where there is a greater chance of failure."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8341252/,title,A comparison between the effects of drug costs and share ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8341252/,abstract,"High health care and medication expenditures pose a financial burden on Americans seeking care. It is imperative to determine the role of affordability in influencing access to health care and medications.To investigate the association between financial burden and health care access by comparing the effects of absolute and relative financial burdens, measured by total health care/medication expenditure (Expenditure) and health care/medication expenditure as a share of annual family income (Expenditure Share), respectively.Delay in receiving health care services and delay in obtaining prescription medications.A cross-sectional analysis of the 2017 Medical Expenditure Panel Survey using multivariate logistic regressions with Expenditure and Expenditure Share variables standardized to facilitate comparison.While both absolute and relative financial burdens were found to be positively associated with the outcomes, the relative measure had a significantly higher association that was about twice as much as the absolute one. For the outcome of delay in getting health care, the standardized odds ratios (OR) for health care expenditure and health care expenditure as a share of family income were 1.13 (95% confidence interval [CI] = 1.09–1.18) and 1.25 (95% CI = 1.20–1.32), respectively. For the outcome of delay in getting medications, the standardized OR for medication expenditure and medication expenditure as a share of family income were 1.11 (95% CI = 1.08–1.15) and 1.23 (95% CI = 1.18–1.29), respectively.The study illustrated the importance of including income in policy considerations intended to balance value, access, and affordability. Specifically, income should be included in measures assessing the value of medications."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8341252/,keywords,"affordability, drug costs, drug price, health care access, income"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7838942/,title,Factors Impacting Pharmaceutical Prices and Affordability
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7838942/,abstract,"Increasing prescription drug pricing often reflects additional work stress on medical professionals because they function as financial advisors for patients and help them manage out-of-pocket expenses. Providers or prescribers wish to help patients with prescription costs but often lack related information. Healthcare plan providers try to display prescription and drug cost information on their websites, but such data may not be linked to electronic prescription software. A mark-up is defined as the additional charges and costs that are applied to the price of a product for the purpose of covering overhead costs, distribution charges, and profit. Therefore, the policies implemented in the pharmaceutical distribution chain might include the regulation of wholesale and retails mark-ups and pharmaceutical remuneration. If mark-ups are regulated, countries are highly recommended to use regressive mark-ups rather than fixed percentage mark-ups. This narrative review provides insights into the framework of pharmaceutical mark-up systems by describing different factors impacting pharmaceutical prices and affordability. These include the interplay of medicine pricing and the supply chain, the impact of pertinent laws and regulation and out-of-pocket expenditure."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7838942/,keywords,"mark-up mechanism, pharmaceuticals pricing, availability, pharmacoeconomics"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2893303/,title,A New Measure of Medication Affordability - PMC
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2893303/,abstract,"This study developed a new measure of medication affordability that examines out-of-pocket drug expenses relative to available household resources. The authors assessed the spending patterns of ~2.1 million poor households (≤100% federal poverty level) of adults aged 51 and older by Medicaid status. The data were drawn from the 2000–2001 Health and Retirement Study. Household spending was categorized into three broad types: basic living, health care, and discretionary. Older (aged 51 or older) poor households without Medicaid allocated about 72% of their total resources ($17,421, SE $783) to basic living needs. In comparison, those with Medicaid had scarcer total resources ($12,498, SE $423) and allocated 85% to basic living needs. Medication costs consumed the largest proportion of health care expenses for both types of poor households (Medicaid: $463, SE $67; non-Medicaid: $970, SE $102). After paying for basic living needs and health care costs, these families had, on average, only $16 left each week. Poor families have very few resources available for anything beyond basic living needs, even when they have Medicaid coverage. There is no great reservoir of discretionary funds to pay for increases in cost-sharing under Medicaid and Medicare Part D."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2893303/,keywords,"Affordability, low-income, prescription drugs"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,title,Lowering drug prices and enhancing pharmaceutical ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,abstract,"To cope with the increasing healthcare costs brought about by the universal health insurance programme, national volume-based procurement (NVBP) was implemented in China to reduce drug prices. However, the impact of NVBP remains unknown. We reported the effects of the NVBP pilot programme on medication affordability and discussed the challenges and recommendations for further reforms. A total of 25 molecules won the bidding in the NVBP pilot programme, and price cuts ranged from 25% to 96%. Medication affordability was measured as the number of days’ wages needed to pay for a course of treatment, and the medication was identified as affordable if the cost of a treatment course was less than the average daily wage. After the NVBP, the proportion of affordable drugs increased from 33% to 67%, and the mean affordability improved from 8.2 days’ wages to 2.8 days’ wages. Specifically, for rural residents, the proportion of affordable drugs increased from 13% to 58%, and the mean affordability improved from 15.7 days’ wages to 5.3 days’ wages. For urban residents, the proportion of affordable drugs increased from 54% to 71%, and the mean affordability improved from 5.9 days’ wages to 2.0 days’ wages. Implementing the NVBP substantially improved medication affordability. In future reforms, a multifaceted approach addressing all issues in the health system is needed to enhance medicine access."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,keywords,health policy
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,title,Utilizing clinical pharmacists and a medication assistance ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,abstract,"Medication Assistance Programs (MAP) provide needed medications to uninsured and underinsured patients. In 2019, 24% of adults had difficulty affording their medications. Literature has shown enrollment in MAP decreased emergency department (ED) visits, hospital admission, and total hospital cost."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,keywords,"Medication assistance program, Prescription assistance program, Underserved patients, Pharmacists, Vulnerable populations, Insurance coverage"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,title,Barriers Associated with Access to Prescription ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,abstract,"This study describes access to prescription medications and examines personal, financial, and structural barriers associated with access to prescription medications in patients with type 2 diabetes treated at Federally Qualified Health Centers. We used a cross-sectional design to analyze data retrieved from the 2014 Health Center Patient Survey. Adult participants who self-reported having type 2 diabetes were included in this study. Predictor variables were categorized into personal, financial, and structural barriers. Outcomes include being unable to get and delayed in getting prescription medications. Chi-square and multivariable regression models were conducted to examine associations between predictor and outcome variables. A total of 1097 participants with type 2 diabetes were included in analyses. Approximately 29% of participants were delayed, and 24% were unable to get medications. Multivariable regression results showed that personal barriers, such as federal poverty level, health status, and psychological distress were associated with being unable to get medications. Financial barriers including out-of-pocket medication cost and employment were associated with access to prescription medications. Type of health center funding program as a structural barrier was associated with access to medications. In conclusion, multi-level tailored strategies and policy changes are needed to address these barriers to improve access to prescription medications and health outcomes in underserved patient populations."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,keywords,"access to prescription medications, barriers, Federally Qualified Health Centers, type 2 diabetes mellitus"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,title,Medication-Related Outcomes and Health Equity
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,abstract,"Marginalised people experience diminished access to pharmaceutical care and worse medication-related outcomes than the general population. Health equity is a global priority. This article explores the key evidence of health inequity and medication use, structures the causes and contributory factors and suggests opportunities that can be taken to advance the pharmaceutical care agenda so as to achieve health equity. The causes of, and contributors to, this inequity are multi-fold, with patient- and person-related factors being the most commonly reported. Limited evidence is available to identify risk factors related to other aspects of a personal medication use system, such as technology, tasks, tools and the internal and the external environments. Multiple opportunities exist to enhance equity in medication-related outcomes through pharmaceutical care research and practice. To optimise the effects and the sustainable implementation of these opportunities, it is important to (1) ensure the meaningful inclusion and engagement of members of marginalised groups, (2) use a person-centred approach and (3) apply a systems-based approach to address all of the necessary components of a system that interact and form a network as work processes that produce system outcomes."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,keywords,"pharmaceutical care, medicine optimisation, marginalisation, minority groups, health equity, health inequality, patient safety"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,title,Consumption and Lack of Access to Medicines ...
